epoch,train_loss,train_acc,val_loss,val_acc,precision,recall,tp,fp,fn,tn
82,0.0214,0.9948,0.0076,0.9954,0.9474,1.0,36,2,0,398
83,0.0177,0.992,0.0139,0.9931,0.9231,1.0,36,3,0,397
84,0.008,0.9977,0.01,0.9954,0.9474,1.0,36,2,0,398
85,0.0058,0.9989,0.0074,0.9954,0.9474,1.0,36,2,0,398
86,0.0182,0.9926,0.0095,0.9954,0.9474,1.0,36,2,0,398
87,0.0171,0.9931,0.0127,0.9908,0.9,1.0,36,4,0,396
88,0.0124,0.9954,0.0044,1.0,1.0,1.0,36,0,0,400
89,0.0146,0.9954,0.0058,0.9977,0.973,1.0,36,1,0,399
90,0.0298,0.9897,0.0042,1.0,1.0,1.0,36,0,0,400
91,0.0174,0.9937,0.0093,0.9954,0.9474,1.0,36,2,0,398
92,0.0119,0.996,0.006,0.9977,0.973,1.0,36,1,0,399
93,0.0204,0.992,0.0075,0.9977,0.973,1.0,36,1,0,399
94,0.0101,0.9954,0.008,0.9954,0.9474,1.0,36,2,0,398
95,0.018,0.9948,0.007,0.9954,0.9474,1.0,36,2,0,398
96,0.0111,0.9948,0.0096,0.9954,0.9474,1.0,36,2,0,398
97,0.0237,0.9908,0.0059,0.9954,0.9474,1.0,36,2,0,398
98,0.0135,0.996,0.005,0.9977,0.973,1.0,36,1,0,399
99,0.0172,0.9943,0.008,0.9954,0.9474,1.0,36,2,0,398
100,0.0262,0.9908,0.0069,0.9954,0.9474,1.0,36,2,0,398
